ID,Active,DependentID,FieldToLoad,SourceField,Domain,api,Parms
106,N,?,,,http://10.20.16.71:8080,/abc/proxies/670628/paths,
107,N,?,,,http://10.20.16.71:8080,/abc/queues/1640,
108,N,?,,,http://10.20.16.71:8080,/abc/queues/1640/steps,fetchLimit=25&fetchOffset=0&filter=active%7Cqueued
109,N,?,,,http://10.20.16.71:8080,/abc/queues/1640/steps,fetchLimit=25&fetchOffset=0&filter=finished
110,N,?,,,http://10.20.16.71:8080,/abc/queues/1640/steps,fetchLimit=25&fetchOffset=0&filter=paused
111,N,?,,,http://10.20.16.71:8080,/abc/queues/1640/steps,fetchLimit=25&fetchOffset=0&filter=stalled
132,N,?,,,http://10.20.16.71:8080,/abc/system/mediainfo/856051,
33,Y,"20,83",,,http://10.20.16.71:8080,/abc/contents/seasons/{seasonID},mvpdPartnerId={mvpdPartnerID}
34,Y,"21,83",,,http://10.20.16.71:8080,/abc/contents/volumes/{volumeID},mvpdPartnerId={mvpdPartnerID}
12,Y,"5,83",,,http://10.20.16.71:8080,/abc/contents/{contentsID},mvpdPartnerId={mvpdPartnerID}
13,Y,"5,83",,,http://10.20.16.71:8080,/abc/contents/{contentsID}/seasons,mvpdPartnerId={mvpdPartnerID}
14,Y,"5,83",,,http://10.20.16.71:8080,/abc/contents/{contentsID}/volumes,mvpdPartnerId={mvpdPartnerID}
54,Y,"52,83",,,http://10.20.16.71:8080,/abc/networks/{networkID},mvpdPartnerId={mvpdPartnerID}
74,Y,"65,83",,,http://10.20.16.71:8080,/abc/packages/{packageID}/mediaRequirement,mapId={mvpdPartnerID}
1,Y,,,,http://10.20.16.71:8080,/abc/calendars/firstLaunchDateCalendar,showDelivered=true
2,Y,,,,http://10.20.16.71:8080,/abc/calendars/liveRecordScheduleCalendar,showDelivered=false
3,Y,,,,http://10.20.16.71:8080,/abc/calendars/originalReleaseDateCalendar,showDelivered=true
4,Y,,,,http://10.20.16.71:8080,/abc/calendars/partnerDueDateCalendar,showDelivered=false
7,Y,,,,http://10.20.16.71:8080,/abc/contents,fetchLimit=25&fetchOffset=0&mvpdOnly=true&mvpdPartnerId=240&type=Series
31,Y,,,,http://10.20.16.71:8080,/abc/contents/genres,
35,Y,,,,http://10.20.16.71:8080,/abc/dashboard/deliveryBandwidth,
36,Y,,,,http://10.20.16.71:8080,/abc/dashboard/deliverySteps,showCompleted=false
37,Y,,,,http://10.20.16.71:8080,/abc/dashboard/fileCopySteps,showCompleted=false
38,Y,,,,http://10.20.16.71:8080,/abc/dashboard/restoreSteps,showCompleted=false
39,Y,,,,http://10.20.16.71:8080,/abc/dashboard/transcodeSteps,includeSubSeries=true&showCompleted=false
40,Y,,,,http://10.20.16.71:8080,/abc/dashboard/transcodeSteps,showCompleted=false
41,Y,,,,http://10.20.16.71:8080,/abc/languages,
45,Y,,,,http://10.20.16.71:8080,/abc/mediaAcceptProfiles,profileType=OTHER
46,Y,,,,http://10.20.16.71:8080,/abc/mediaAcceptProfiles,profileType=VIDEO
49,Y,,,,http://10.20.16.71:8080,/abc/metadata/properties,ownerFilter=nonPackage
50,Y,,,,http://10.20.16.71:8080,/abc/metadata/properties,ownerFilter=package
78,Y,,,,http://10.20.16.71:8080,/abc/packages/categoryTypes,
79,Y,,,,http://10.20.16.71:8080,/abc/packages/categoryTypes,view=EXTENDED
81,Y,,,,http://10.20.16.71:8080,/abc/partners,fetchLimit=1000&includeHidden=false
82,Y,,,,http://10.20.16.71:8080,/abc/partners,fetchLimit=25&fetchOffset=0
99,Y,,,,http://10.20.16.71:8080,/abc/permissions,packageId=10107748&viewState=CLIP_ACTION_DOWNLOAD_PROXIES_VIEW_STATE
100,Y,,,,http://10.20.16.71:8080,/abc/permissions,packageId=10107748&viewState=PACKAGE_APPROVE_REJECT_VIEW_STATE
101,Y,,,,http://10.20.16.71:8080,/abc/permissions,packageId=10107748&viewState=PACKAGE_BATCH_MODIFY_METADATA_VIEW_STATE
102,Y,,,,http://10.20.16.71:8080,/abc/permissions,packageId=10107748&viewState=PACKAGE_DELIVER_VIEW_STATE
103,Y,,,,http://10.20.16.71:8080,/abc/permissions,packageId=10107748&viewState=PACKAGE_MANAGER_DELIVER_VIEW_STATE
104,Y,,,,http://10.20.16.71:8080,/abc/permissions,packageId=10107748&viewState=PACKAGE_RESTORE_MASTER_MEDIA_VIEW_STATE
105,Y,,,,http://10.20.16.71:8080,/abc/permissions,packageId=10107748&viewState=PACKAGE_VIEW_DOWNLOAD_PROXY_VIEW_STATE
112,Y,,,,http://10.20.16.71:8080,/abc/report/delivery/bandwidth,
113,Y,,,,http://10.20.16.71:8080,/abc/roles,
114,Y,,,,http://10.20.16.71:8080,/abc/roles,mediaType=CC
115,Y,,,,http://10.20.16.71:8080,/abc/roles,mediaType=Subtitle
116,Y,,,,http://10.20.16.71:8080,/abc/roles,mediaType=Video
117,Y,,,,http://10.20.16.71:8080,/abc/system/assetRepositoryRoots,
120,Y,,,,http://10.20.16.71:8080,/abc/system/deliveryTemplates,
121,Y,,,,http://10.20.16.71:8080,/abc/system/emailTemplates,
122,Y,,,,http://10.20.16.71:8080,/abc/system/externalMetadataLogs,fetchLimit=25&fetchOffset=0
127,Y,,,,http://10.20.16.71:8080,/abc/system/imageTemplates,fetchLimit=25&fetchOffset=0
134,Y,,,,http://10.20.16.71:8080,/abc/system/xslTemplates,fetchLimit=25&fetchOffset=0&includeHidden=false
140,Y,,,,http://10.20.16.71:8080,/exec-servers,
141,Y,,,,http://10.20.16.71:8080,/abc/dashboard/activeWorkflows,apiKey=838f7278-626c-4964-9fcd-ca2359b2076e
142,Y,,,,http://10.20.16.71:8080,/abc/livefeeds,apiKey=838f7278-626c-4964-9fcd-ca2359b2076e
143,Y,,,,http://10.20.16.71:8080,/abc/dashboard/deliveryBandwidth,apiKey=838f7278-626c-4964-9fcd-ca2359b2076e
144,Y,,,,http://10.20.16.71:8080,/abc/dashboard/fileCopySteps,apiKey=838f7278-626c-4964-9fcd-ca2359b2076e
145,Y,,,,http://10.20.16.71:8080,/abc/calendars/liveRecordScheduleCalendar,apiKey=838f7278-626c-4964-9fcd-ca2359b2076e
146,Y,,,,http://10.20.16.71:8080,/abc/dashboard/restoreSteps,apiKey=838f7278-626c-4964-9fcd-ca2359b2076e
147,Y,,,,http://10.20.16.71:8080,/abc/dashboard/transcodeSteps,apiKey=838f7278-626c-4964-9fcd-ca2359b2076e
148,Y,,,,http://10.20.16.71:8080,/abc/dashboard/deliverySteps,apiKey=838f7278-626c-4964-9fcd-ca2359b2076e
